Style length,Style length SE,Visitor length,Visitor length SE
21.56,0.91,15.16,
23.42,0.89,16.83,0.67
24.09,0.78,18.11,1.61
24.44,0.61,15.86,1.06
25.2,0.85,14.11,0.32
27.44,0.7,15.33,0.71
28.46,0.83,18.56,1.97
29.24,0.93,15.78,5.23
41.23,0.87,31.49,6.36
42.15,0.74,37.56,0.08
42.22,0.81,54.78,1.8
